class_id,class_name,mAP@0.5,mAP@0.5:0.95,performance_group,improvement_priority,interpretation,improvement_direction
0,book_flower,0.995,0.539,탐지는 잘 되나 bbox 정밀도 보완 필요,중간,"객체 존재는 잘 찾지만, 박스 위치 정밀도는 추가 보완이 필요함","bbox를 더 타이트하게 재라벨링하고, 다양한 거리/각도 데이터 추가"
1,book_flowerpot,0.771,0.495,보통,중간,탐지는 가능하지만 mAP@0.5:0.95가 0.5 미만으로 정밀도 보완이 필요함,화분과 배경/인접 객체 경계를 명확히 라벨링하고 유사 구도 이미지 보강
2,book_monkey,0.746,0.488,보통,중간,탐지는 가능하나 bbox 정밀도가 낮은 편임,"원숭이 객체의 부분 가림, 가까운 객체 배치, 다양한 촬영 각도 데이터 추가"
3,book_stone,0.678,0.342,개선 필요,높음,mAP@0.5:0.95가 가장 낮아 박스 위치 정밀도가 특히 약함,"돌 객체의 크기/각도/배경 변화 데이터 추가, bbox 경계 타이트하게 재검수"
4,braille,0.913,0.758,안정적,낮음,탐지율과 bbox 정밀도가 모두 비교적 안정적임,"현재 라벨 품질 유지, 실제 웹캠 환경에서 재확인"
5,tactile_flower,0.495,0.420,개선 필요,높음,mAP@0.5가 가장 낮아 촉각 꽃 객체 탐지 자체가 불안정함,촉각 꽃 단독/근접/다중 객체 이미지를 추가하고 라벨 누락 여부 점검
6,tactile_flowerpot,0.808,0.644,안정적,낮음,탐지율과 bbox 정밀도가 모두 비교적 안정적임,"현재 라벨 품질 유지, 실제 웹캠 환경에서 재확인"
7,tactile_monkey,0.795,0.611,보통,중간,기본 탐지는 가능하지만 클래스별 안정성이 충분하지 않음,"유사 배경/유사 객체가 함께 있는 이미지 추가, 라벨 경계 일관성 점검"
8,tactile_stone,0.795,0.705,보통,중간,기본 탐지는 가능하지만 클래스별 안정성이 충분하지 않음,"유사 배경/유사 객체가 함께 있는 이미지 추가, 라벨 경계 일관성 점검"
9,text,0.759,0.450,보통,중간~높음,텍스트 영역은 mAP@0.5:0.95가 낮아 bbox 경계 정밀도 보완이 필요함,"텍스트 박스 기준을 통일하고, 글자 영역 크기/배경이 다른 이미지 추가"
